Date_Last_Researched,Latitude,Longitude,Country,Capacity_(MW),Technology_Type,Status,Start_year,Retired_year,Subregion,Region,GEM_location_ID,GEM_phase_ID,PV_value
3/16/2023,53.3273,8.4262,Germany,1.5,PV,operating,2015,,Western Europe,Europe,L820794,G823810,2.846
3/16/2023,51.7752,14.343,Germany,2,PV,operating,2012,,Western Europe,Europe,L820795,G823811,2.985
3/16/2023,51.7752,14.343,Germany,2,PV,operating,2012,,Western Europe,Europe,L820796,G823812,2.985
3/16/2023,48.001,12.001,Germany,1.9,PV,operating,2021,,Western Europe,Europe,L820797,G823813,3.259
3/16/2023,52.4159,12.5122,Germany,2.9,PV,operating,2012,,Western Europe,Europe,L820798,G823814,2.933
3/16/2023,51.3023,11.4629,Germany,2.6,PV,operating,2015,,Western Europe,Europe,L820799,G823815,2.991
3/16/2023,48.0095,10.2318,Germany,2,PV,operating,2009,,Western Europe,Europe,L820801,G823817,3.28
3/16/2023,51.4746,10.902,Germany,1.8,PV,operating,2011,,Western Europe,Europe,L820802,G823818,2.951
3/16/2023,49.8494,10.7386,Germany,1,PV,operating,2011,,Western Europe,Europe,L820803,G823819,3.056
3/16/2023,51.3337,9.1578,Germany,4.2,PV,operating,2012,,Western Europe,Europe,L820804,G823820,2.899
3/16/2023,52.3492,14.5217,Germany,16.5,PV,pre-construction,2022,,Western Europe,Europe,L820800,G823816,2.983
3/16/2023,51.7967,10.9476,Germany,1.4,PV,operating,2010,,Western Europe,Europe,L820805,G823821,2.928
3/16/2023,52.873,7.219,Germany,2.7,PV,operating,2010,,Western Europe,Europe,L820929,G823945,2.806
3/16/2023,47.9324,8.525,Germany,1.2,PV,operating,2011,,Western Europe,Europe,L821602,G824621,3.278
3/16/2023,51.4554,7.3909,Germany,1.2,PV,operating,2010,,Western Europe,Europe,L821853,G824876,2.865
3/16/2023,49.2898,12.2408,Germany,2.1,PV,operating,2021,,Western Europe,Europe,L820806,G823822,3.061
3/16/2023,53.6984,13.2451,Germany,1.3,PV,operating,2022,,Western Europe,Europe,L820807,G823823,2.94
3/16/2023,51.5767,14.0319,Germany,3.7,PV,operating,2014,,Western Europe,Europe,L820808,G823824,2.99
3/16/2023,49.5113,10.7071,Germany,8.2,PV,operating,2022,,Western Europe,Europe,L820810,G823826,3.106
